,author,like_count,comment,authorImage
83,sudarmawanamikom3658,4,"Kampus dimana budaya menumbuhkan harapan, budaya belajar, budaya saling perhatian dengan sesama dan lingkungan, budaya bersyukur ditumbuhkan",https://yt3.ggpht.com/ytc/AIdro_kj6g7ezhr86WFXphm2Llb6XTh1mUvFdpv0pWyvplBJLNU=s48-c-k-c0x00ffffff-no-rj
84,jokodwisantoso,5,2002 Masuk Ke Amikom dr D3 - S2 di AMIKOM...and Now Jadi Pengajar Di AMIKOM...So What You Waiting For...Datang Dan Joint...Dari Desa di Tempa Dan Didik Hingga Bisa Seperti ini Sekarang...Saya Buktinya...Ayuk Kita Berkolaborasi dan Berkontribusi Untuk Negara Ini Melalui Kampus Ini...Sukses Selalu AMIKOM Ku 🙏,https://yt3.ggpht.com/DUfc0fe_hHgoKXeQTCbf-2wOKGwN51cIKre96r7TGguHm7dB5u70nS2j4HjR6tozckKzGG8bdg=s48-c-k-c0x00ffffff-no-rj
85,yasifakbar4487,1,"Ketua Bemnya Hanif Hidayatullah, siswa SMK AL-HUDA BUMIAYU",https://yt3.ggpht.com/ytc/AIdro_mncBXbO5RAHQ8y2Xn6DM1oq6rzZn-Su7DiZGgpt3OfwhQ=s48-c-k-c0x00ffffff-no-rj
86,elgarage_sinyal,2,Perjuangan yang Luar biasa JALA 2009,https://yt3.ggpht.com/ytc/AIdro_kvnq3i86G4ktiNEV1vdbeBjWXOURVifz7aBRoGJqX1=s48-c-k-c0x00ffffff-no-rj
87,Wahbroow,3,Saya Alumni Amikom YK hadir...Salam dari Bali nggihh😍👍👍🙏Kangen pengen kejogja lg,https://yt3.ggpht.com/TkJfIZPFcbeUNJXNliRHVmlltevtjpPyFdKmX3t9gtyYOjwqYm0AT9n-OPPy8pDuzx2RqYFnkg=s48-c-k-c0x00ffffff-no-rj
88,aridhotatan601,1,aku pernah kunjungan industri ke situ,https://yt3.ggpht.com/ytc/AIdro_ljj4v4Yc2E9PcXvAg2oD48UETa8Ee1LW_L55avoQvpy3U=s48-c-k-c0x00ffffff-no-rj
89,Febri094,2,Be your self and never surender :v,https://yt3.ggpht.com/ytc/AIdro_nC2VXUDtZetqQ8py_R2-NvCVGLuusjs0gSWbc_lQrxr9c=s48-c-k-c0x00ffffff-no-rj
90,gameplayrace,3,"Jargon kuliahnya orang berdasi udah gak ada,,, terus kyknya dh gk wajib berdasi lagi ya...",https://yt3.ggpht.com/zPUcqBUnTIoKGCYKzdAUbBX9OSkQ_TG3kcp45t6E7p8A-_a9Fn0tzfBRol8oWQ6oKhz4sVx9GQ=s48-c-k-c0x00ffffff-no-rj
91,tech.titans.official,1,Bangga jadi mahasiswa AMIKOM,https://yt3.ggpht.com/psH-Bovk-SPWy21Nk6IG_FWcKkWEwxZy2DU9b92vQL6P9dvw8dQUibZ-3NJhkHESorE5ipzcUw=s48-c-k-c0x00ffffff-no-rj
92,Okfriyantinus,5,"Msk 2012 lulus 2018,Sekarang bekerja di rumah sakit pemerintah",https://yt3.ggpht.com/ytc/AIdro_mm_PFiqYfho-fkedpIK_ZBKhU9D3yAkhHR9BAg3eMJn2Y=s48-c-k-c0x00ffffff-no-rj
93,mujibalbaits5669,1,Ternyata bener joss pokok e amikom,https://yt3.ggpht.com/ytc/AIdro_n-dfrq4pKoVpb347rt7g1jQFddNBEMeJ4r26PJBv8=s48-c-k-c0x00ffffff-no-rj
94,fadhilrahmat3017,1,saya cinta amikom,https://yt3.ggpht.com/ytc/AIdro_nf6UxqZ9FSeeYEgETJn8lp1NN-Cbp1AXPTL2mQBCDOEtA=s48-c-k-c0x00ffffff-no-rj
95,_IrwanSetyonugroho,2,Semoga menjadi  yang terbaik setiap tahunnya......,https://yt3.ggpht.com/ytc/AIdro_nfjWM5yWMAztV-7iLx8_uKYybck3UZyd7brTchhOy3hro=s48-c-k-c0x00ffffff-no-rj
96,zakynd,3,Semua orang bahkan tidak menyadarinyabahwa kuliah di amikom sangat asik 👍👍,https://yt3.ggpht.com/ytc/AIdro_lGP6YKIYt_UQ_VDedBZwk0wyPiK8BWy7mQGSb7pARGQTQd=s48-c-k-c0x00ffffff-no-rj
97,vnkdyst8887,1,Amikom terkeren!!!,https://yt3.ggpht.com/ytc/AIdro_ls_O3euBjKEc-TYEBMuA1scNg_Dt3lSnvINLCVPiO-elE=s48-c-k-c0x00ffffff-no-rj
98,papuatimika4957,1,Universitas Amikom Yogyakarta Sukses selalu..Amiin,https://yt3.ggpht.com/ytc/AIdro_nI6wu-DS7fhHkbRc6kG_0qw0ZYQjgfoGVAX6mI5s8=s48-c-k-c0x00ffffff-no-rj
99,ukhid,1,Sukses terus AMIKOM,https://yt3.ggpht.com/ytc/AIdro_kKerh9ZfFp6loGj58G-rcNYUq9qrzh4vMdCCQvzb1WHw=s48-c-k-c0x00ffffff-no-rj
100,jefrykurniawan5247,2,"udahh lah, rata semua teknologi sama amikom ini😘nyesel kalean ngga daftar amikom🤭",https://yt3.ggpht.com/ytc/AIdro_mC-OCukFlWNaV6XQuAnbkqyKFxQSSRJb6PtE3wWfu9XlXg=s48-c-k-c0x00ffffff-no-rj
101,ajiwahyu_in,2,"widih, keren banget kampusnya",https://yt3.ggpht.com/ycK5TOGICnRPJLJxFcOgO1qKGAUJ4Yn5biR0c9Sa64KtuUBl8LZ_AY5vGtZvOJF5o-eI8kZjHw=s48-c-k-c0x00ffffff-no-rj
102,suryobaskoroaji6830,1,SUKSES SELALU AMIKOM,https://yt3.ggpht.com/ytc/AIdro_mkjhwKO4D_JO2up-wf6NwIkJ7O0YlvcPEEN4By8BpZCg=s48-c-k-c0x00ffffff-no-rj
103,mediabelajar1836,1,Allhamdullilah ketrima SI SISTEM INFORMASI,https://yt3.ggpht.com/ytc/AIdro_lKn3aIpPBkkYKFBDewE5RvP0Xu9xpD8w1BvzzIPz77wQ=s48-c-k-c0x00ffffff-no-rj
104,yudhadwiyulianto520,1,Kampus ungu terbaik,https://yt3.ggpht.com/ytc/AIdro_lPpzHr4wekP8TzGN4A-_Bd5C3RwNKy2NwWevc0jOs=s48-c-k-c0x00ffffff-no-rj
105,indahputriwardani3122,8,"Saya bangga kuliah di Amikom,Sukses selalu dan maju terus !",https://yt3.ggpht.com/ytc/AIdro_k9dZQg9sUFaUTG3hwhVzwsvmQAJrOnUwaephv9WAM=s48-c-k-c0x00ffffff-no-rj
106,rezawahyudi5138,0,Kampus modern..,https://yt3.ggpht.com/ytc/AIdro_kMFdBoVzBARIMvATjA-73X36H-Zo58jUZHqd4xybEcJuk=s48-c-k-c0x00ffffff-no-rj
107,isnawanmuftis4006,0,Saya bangga menjadi mahasiswa amikom,https://yt3.ggpht.com/ytc/AIdro_nJH9yY38FOvPxmQQSs418Xt29buhjpPfJ1bSZWRKrPJWs=s48-c-k-c0x00ffffff-no-rj
108,musthafahanif9875,0,Sukses terus buat universitas amikom yogyakarta tercinta semoga semakin maju dan terus jaya,https://yt3.ggpht.com/ytc/AIdro_mw1qwJ5en_0g4MwwguLefTmyb5fZkeDrS8OsQiAP4=s48-c-k-c0x00ffffff-no-rj
109,_MDanilAlfikrah,1,"Saya bangga kuliah di amikom, Sukses selalu kampus tercinta",https://yt3.ggpht.com/ytc/AIdro_lZj7OGLcR4CMWgadOgieSyCTBZ82vmeLGLS-c5EsJyPQ=s48-c-k-c0x00ffffff-no-rj
110,_NaufalAfifHidayat,0,"Creative Economy Park, kampus masa kini.Semoga terus berkembang.. Sukses salalu",https://yt3.ggpht.com/ytc/AIdro_nLtnUxOTqFq5gZwSAfyBhhDp8GBgphORvqOMY0XJg=s48-c-k-c0x00ffffff-no-rj
111,_Firmanarifwicaksono,0,Sukses terus amikom,https://yt3.ggpht.com/ytc/AIdro_lLwfHw7QOjljy-hAhBpl03U5w8DC4AhP_Nhg-e5RJf9A=s48-c-k-c0x00ffffff-no-rj
112,Sabillx,0,"Mantap nih amikom, sukses selalu",https://yt3.ggpht.com/ytc/AIdro_kgW5tDy_6HgdSF1poot4dqF8lh5jiLIux-gNeZIvv6GZ0=s48-c-k-c0x00ffffff-no-rj
113,dewiarshietalaksmi55,1,"Amikom keren, bangga kuliah disini fasilitas dan pendidikannya top bgt!!!!!!!!",https://yt3.ggpht.com/ytc/AIdro_lQWyLgxZ_1EAnVislHkwteMgqS8J6ejbguzTL3gcobvkQ=s48-c-k-c0x00ffffff-no-rj
114,ellynawidyaningrum2787,0,"Semoga semakin maju, dan kreatif.",https://yt3.ggpht.com/ytc/AIdro_nEmRqqytRELHPCwGaoWK_HcbMlyQYtj4qw42eCKhZYTHUq=s48-c-k-c0x00ffffff-no-rj
